Address,Town,DOR_Code,Total_Area,Year_Built,Remodel_Year,Quality,Condition,Architecture,Bedrooms,Bathrooms,Total_Rooms,Foundation,Garage_Stalls,Land_Value,Improvements_Value,Permanent_Crop_Value,Total_Value,Total_Acres,Data_Link,,,
,,99 - Undeveloped - Other,None,None,None,None,None,None,None,None,None,None,None,40,88,0,128,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=921016&parcelNumber=127650016080000&typeID=1,,,
,,99 - Undeveloped - Other,None,None,None,None,None,None,None,None,None,None,None,40,88,0,128,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=921019&parcelNumber=127650017050000&typeID=1,,,
,,68 - Services - Educational,None,None,None,None,None,None,None,None,None,None,None,96,55,0,151,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=912327&parcelNumber=108200003020000&typeID=1,,,
,,99 - Undeveloped - Other,None,None,None,None,None,None,None,None,None,None,None,40,165,0,205,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=920995&parcelNumber=127650011120000&typeID=1,,,
402 JOHN HENLEY RD,HAY,11 - Residential - Single Family,None,None,None,None,None,None,None,None,None,None,None,115,115,0,230,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=922133&parcelNumber=141400003050000&typeID=1,,,
,,83 - Resource - Agriculture Current Use,None,None,None,None,None,None,None,None,None,None,None,120,110,0,230,1,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=921135&parcelNumber=127800001110000&typeID=1,,,
18710 W STERLING ROAD,CHENEY,11 - Residential - Single Family,None,None,None,None,None,None,None,None,None,None,None,115,173,0,288,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=922154&parcelNumber=141400006060000&typeID=1,,,
,,99 - Undeveloped - Other,None,None,None,None,None,None,None,None,None,None,None,40,275,0,315,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=921023&parcelNumber=127650018050000&typeID=1,,,
,,99 - Undeveloped - Other,None,None,None,None,None,None,None,None,None,None,None,40,330,0,370,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=921114&parcelNumber=127700018050000&typeID=1,,,
,,99 - Undeveloped - Other,None,None,None,None,None,None,None,None,None,None,None,40,330,0,370,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=921034&parcelNumber=127650019090000&typeID=1,,,
2862 ELBERTON ROAD,GARFIELD,11 - Residential - Single Family,None,None,None,None,None,None,None,None,None,None,None,46,345,0,391,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=921097&parcelNumber=127700010030000&typeID=1,,,
,,99 - Undeveloped - Other,None,None,None,None,None,None,None,None,None,None,None,120,330,0,450,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=921450&parcelNumber=131800001050001&typeID=1,,,
,,99 - Undeveloped - Other,None,None,None,None,None,None,None,None,None,None,None,40,440,0,480,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=921044&parcelNumber=127650023010000&typeID=1,,,
25813 HUDSON CT,LOMA LINDA,11 - Residential - Single Family,None,None,None,None,None,None,None,None,None,None,None,46,460,0,506,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=921079&parcelNumber=127700007020000&typeID=1,,,
11312 W NEWKIRK RD,SPOKANE,11 - Residential - Single Family,1392,1912,,1.0 - Low,1.5 - Low/Fair,&nbsp;,3,1,,&nbsp;,,510,0,0,510,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=921790&parcelNumber=135900031010000&typeID=1,,,
,,68 - Services - Educational,None,None,None,None,None,None,None,None,None,None,None,80,440,0,520,2,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=926412&parcelNumber=200004116241901&typeID=1,,,
,,99 - Undeveloped - Other,None,None,None,None,None,None,None,None,None,None,None,40,495,0,535,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=921009&parcelNumber=127650015100000&typeID=1,,,
,,99 - Undeveloped - Other,None,None,None,None,None,None,None,None,None,None,None,320,220,0,540,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=921050&parcelNumber=127650024060000&typeID=1,,,
PO BOX 203,ENDICOTT,11 - Residential - Single Family,None,None,None,None,None,None,None,None,None,None,None,403,184,0,587,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=942372&parcelNumber=832654117320023&typeID=1,,,
,,99 - Undeveloped - Other,None,None,None,None,None,None,None,None,None,None,None,40,550,0,590,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=921032&parcelNumber=127650019070000&typeID=1,,,
PO BOX 1472,ROYAL CITY,11 - Residential - Single Family,None,None,None,None,None,None,None,None,None,None,None,587,46,0,633,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=921888&parcelNumber=136200010070000&typeID=1,,,
30 CAMINO BAJO,SANTA FE,11 - Residential - Single Family,None,None,None,None,None,None,None,None,None,None,None,587,92,0,679,0.0746,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=921664&parcelNumber=135050003150000&typeID=1,,,
252 JOHN HENLEY RD,HAY,11 - Residential - Single Family,None,None,None,None,None,None,None,None,None,None,None,115,575,0,690,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=922128&parcelNumber=141400002100000&typeID=1,,,
12 MORELAND AVE,COLFAX,11 - Residential - Single Family,None,None,None,None,None,None,None,None,None,None,None,587,115,0,702,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=922389&parcelNumber=142200046100000&typeID=1,,,
12 MORELAND AVE,COLFAX,11 - Residential - Single Family,None,None,None,None,None,None,None,None,None,None,None,587,115,0,702,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=922390&parcelNumber=142200046110000&typeID=1,,,
7456 WHEELER RD,MAPLE FALLS,11 - Residential - Single Family,1210,1917,,1.0 - Low,1.0 - Low,Conventional,3,1,,Concrete,,138,575,0,713,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=922147&parcelNumber=141400005030000&typeID=1,,,
,,11 - Residential - Single Family,None,None,None,None,None,None,None,None,None,None,None,510,275,0,785,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=921593&parcelNumber=134950006110001&typeID=1,,,
6354 LANCASTER RD,ST JOHN,18 - Residential - All other,None,None,None,None,None,None,None,None,None,None,None,230,575,0,805,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=942426&parcelNumber=836054118290010&typeID=1,,,
8151 ENDICOTT ROAD,ENDICOTT,11 - Residential - Single Family,None,None,None,None,None,None,None,None,None,None,None,472,345,0,817,0.1147,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=921488&parcelNumber=131950001040000&typeID=1,,,
2515 E THURSTON AVE,SPOKANE,11 - Residential - Single Family,None,None,None,None,None,None,None,None,None,None,None,587,230,0,817,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=940704&parcelNumber=803359902100000&typeID=1,,,
,,69 - Services - Misc,None,None,None,None,None,None,None,None,None,None,None,720,110,0,830,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=922121&parcelNumber=140459914220000&typeID=1,,,
25813 HUDSON CT,LOMA LINDA,11 - Residential - Single Family,None,None,None,None,None,None,None,None,None,None,None,46,805,0,851,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=921084&parcelNumber=127700007090000&typeID=1,,,
612 E SOUTHVIEW STREET,COLFAX,11 - Residential - Single Family,None,None,None,None,None,None,None,None,None,None,None,587,288,0,875,0.0482,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=921599&parcelNumber=134950006130002&typeID=1,,,
607 N 4TH STREET,GARFIELD,11 - Residential - Single Family,None,None,None,None,None,None,None,None,None,None,None,575,345,0,920,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=991723&parcelNumber=104050060050001&typeID=1,,,
,,99 - Undeveloped - Other,668,1949,,2.0 - Fair,2.0 - Fair,&nbsp;,2,0,,&nbsp;,,40,1100,0,1140,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=920988&parcelNumber=127650010040000&typeID=1,,,
,,99 - Undeveloped - Other,732,1890,,1.0 - Low,1.5 - Low/Fair,&nbsp;,2,0,,&nbsp;,,40,1100,0,1140,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=921070&parcelNumber=127700004090000&typeID=1,,,
840 NE 195TH STREET,SHORELINE,39 - Commercial - Misc Commercial,None,None,None,None,None,None,None,None,None,None,None,0,1150,0,1150,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=944000&parcelNumber=200004615323791&typeID=1,,,
1401 MERRILL CREEK PARKWAY,EVERETT,11 - Residential - Single Family,1236,1900,,2.0 - Fair,2.0 - Fair,Conventional,3,1,,Concrete,,1150,0,0,1150,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=909281&parcelNumber=103400051030000&typeID=1,,,
281 SR 23,COLFAX,11 - Residential - Single Family,None,None,None,None,None,None,None,None,None,None,None,587,575,0,1162,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=922298&parcelNumber=142200023130000&typeID=1,,,
,ROSALIA,11 - Residential - Single Family,None,None,None,None,None,None,None,None,None,None,None,587,575,0,1162,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=921673&parcelNumber=135100001010002&typeID=1,,,
401 SQUIRES RD,ROSALIA,11 - Residential - Single Family,None,None,None,None,None,None,None,None,None,None,None,587,575,0,1162,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=921933&parcelNumber=137200005010001&typeID=1,,,
PO BOX 345,PALOUSE,11 - Residential - Single Family,None,None,None,None,None,None,None,None,None,None,None,115,1058,0,1173,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=941042&parcelNumber=807950000000157&typeID=1,,,
6251 PENEWAWA,LACROSSE,11 - Residential - Single Family,None,None,None,None,None,None,None,None,None,None,None,242,949,0,1191,0.06198,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=921486&parcelNumber=131950001020001&typeID=1,,,
,,67 - Services - Governmental,None,None,None,None,None,None,None,None,None,None,None,480,770,0,1250,32,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=934914&parcelNumber=200004511082790&typeID=1,,,
,,99 - Undeveloped - Other,424,1892,,1.0 - Low,1.5 - Low/Fair,&nbsp;,0,0,,&nbsp;,,40,1210,0,1250,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=921120&parcelNumber=127700020060000&typeID=1,,,
,,99 - Undeveloped - Other,None,None,None,None,None,None,None,None,None,None,None,320,935,0,1255,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=921162&parcelNumber=127850000000046&typeID=1,,,
,,67 - Services - Governmental,None,None,None,None,None,None,None,None,None,None,None,600,660,0,1260,49,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=922677&parcelNumber=200003813194790&typeID=1,,,
12 MORELAND AVE,COLFAX,11 - Residential - Single Family,None,None,None,None,None,None,None,None,None,None,None,587,690,0,1277,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=922388&parcelNumber=142200046090000&typeID=1,,,
51 MCCANSE RD,THORNTON,11 - Residential - Single Family,None,None,None,None,None,None,None,None,None,None,None,587,696,0,1283,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=921583&parcelNumber=134950006070001&typeID=1,,,
5282 WOODS PEAK CIRCLE,HERRIMAN,11 - Residential - Single Family,None,None,None,None,None,None,None,None,None,None,None,138,1150,0,1288,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=922196&parcelNumber=141600000000046&typeID=1,,,
,,99 - Undeveloped - Other,None,None,None,None,None,None,None,None,None,None,None,320,990,0,1310,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=921068&parcelNumber=127700003110000&typeID=1,,,
PO BOX 62,ENDICOTT,11 - Residential - Single Family,None,None,None,None,None,None,None,None,None,None,None,736,575,0,1311,5,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=942317&parcelNumber=832104017200028&typeID=1,,,
,,76 - Recreational - Parks,None,None,None,None,None,None,None,None,None,None,None,1000,330,0,1330,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=941780&parcelNumber=816350000000085&typeID=1,,,
6251 PENEWAWA,LACROSSE,11 - Residential - Single Family,None,None,None,None,None,None,None,None,None,None,None,472,863,0,1335,0.0665,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=921485&parcelNumber=131950001010000&typeID=1,,,
3002 KAMERRER RD,PULLMAN,72 - Recreational - Public assembly,None,None,None,None,None,None,None,None,None,None,None,138,1200,0,1338,1,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=932620&parcelNumber=200004414172901&typeID=1,,,
,,59 - Trade - Other,None,None,None,None,None,None,None,None,None,None,None,240,1100,0,1340,2,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=942394&parcelNumber=834254320100017&typeID=1,,,
,,59 - Trade - Other,None,None,None,None,None,None,None,None,None,None,None,240,1100,0,1340,2,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=942394&parcelNumber=834254320100017&typeID=1,,,
,,99 - Undeveloped - Other,None,None,None,None,None,None,None,None,None,None,None,510,880,0,1390,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=910289&parcelNumber=105400000000187&typeID=1,,,
PO BOX 229,COLFAX,99 - Undeveloped - Other,None,None,None,None,None,None,None,None,None,None,None,510,880,0,1390,0.03673,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=908081&parcelNumber=101200028030001&typeID=1,,,
6161 RACEL ST,LAS VEGAS,11 - Residential - Single Family,None,None,None,None,None,None,None,None,None,None,None,587,805,0,1392,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=922182&parcelNumber=141550000000046&typeID=1,,,
